title,published,KernAI_stock_news_distilbert,gigachat_score_only,deepseek_score
Суд в Петербурге взыскал с «Трансаэро» 172 млн руб. в пользу «Аэрофлота»,2017-11-27 12:40:47,98.05200695991516,-50,20
Посольство России заявило о стабилизации ситуации с рейсами в США,2018-01-06 20:22:25,99.17398691177368,30,5
«Аэрофлот» отменил 12 рейсов в Италию и обратно из-за забастовки,2018-01-17 14:18:14,-99.84323382377625,-50,-20
«Аэрофлот» заявил о прекращении сотрудничества с «ФК Открытие»,2018-03-01 16:51:32,0,-50,-20
«Аэрофлот» заморозил цены на рейсы Москва — Кемерово,2018-03-27 11:19:54,-99.7685194015503,50,5
«Аэрофлот» прокомментировал обыск самолета в Лондоне,2018-03-30 18:44:13,0,35,-20
"Из России вылетел первый за 2,5 года рейс в Египет",2018-04-11 19:09:55,0,75,30
«Аэрофлот» подписал соглашение на покупку ста самолетов Superjet 100,2018-09-10 16:37:58,99.50615763664246,80,50
СМИ сообщили о работе убитого следователя по делу о милях «Аэрофлота»,2018-10-11 00:41:48,-96.26867771148682,-50,0
"Пассажиры потребовали от «Аэрофлота» более $3,6 млн в суде США",2019-01-15 11:30:47,-99.78860020637512,-80,-20
Летевший на Кубу борт «Аэрофлота» сел в Осло из-за самочувствия пассажира,2019-04-04 10:02:56,0,-30,0
«Аэрофлот» опроверг потерю связи с самолетом из Симферополя,2019-05-06 15:24:09,0,25,5
Вылетевший в Самару SSJ100 «Аэрофлота» вернулся в Москву,2019-05-13 00:33:09,0,-50,0
МАК опубликовал отчет о катастрофе SSJ100 в Шереметьево,2019-06-14 11:23:47,-76.23956203460693,-50,-40
«Аэрофлот» решил не отказываться от ста новых SSJ после авиакатастрофы,2019-06-28 14:35:17,0,50,50
Самолет «Аэрофлота» совершил вынужденную посадку из-за смерти пассажира,2019-09-09 12:51:26,-98.16084504127502,-80,-10
«Аэрофлот» введет топливный сбор для рейсов на Дальний Восток,2019-11-05 14:48:53,91.88551306724548,-50,-20
Глава «Аэрофлота» обвинил 17 аэропортов в резком подорожании услуг,2019-12-03 06:00:51,-99.81043338775635,-80,-20
Все рейсы из Китая будет принимать отдельный терминал Шереметьево,2020-01-31 13:11:21,0,25,5
Минтранс объявил об ограничении авиасообщения с Ираном,2020-02-27 13:00:30,-99.70698356628418,-80,-20
«Аэрофлот» увеличил вознаграждение руководству в 2019 году почти на 40%,2020-03-03 10:18:18,98.42441082000732,50,-30
«Аэрофлот» впервые потерял лидерство в России по числу рейсов,2020-04-20 09:59:41,-99.79402422904968,-50,-30
Как проходил полет SSJ100 перед аварией. Реконструкция РБК по данным МАКа,2020-04-20 13:30:31,0,-50,-20
S7 и «Победа» не смогут получить отсрочку при уплате налогов,2020-04-21 02:59:33,-99.41814541816711,-50,-30
«Аэрофлот» и «Победа» отказались от продажи билетов через Aviasales,2020-04-21 11:00:01,-99.56855773925781,-30,-30
Aviasales назвал ультиматумом изменение размера комиссии «Аэрофлотом»,2020-04-21 14:30:06,0,-35,-20
«Аэрофлот» оценит риски для здоровья экипажей,2020-04-22 08:28:30,-99.56270456314087,25,-20
«Аэрофлот» сократит число рейсов по России в мае из-за падения спроса,2020-04-23 08:00:24,-99.46710467338562,-50,-30
«Аэрофлот» на 40% сократил зарплаты руководству,2020-04-23 13:14:41,-99.52024221420288,-80,-20
Количество пассажиров группы «Аэрофлот» в марте упало на 34%,2020-04-24 15:55:37,-99.83148574829102,-75,-40
«Аэрофлот» поддержал идею ваучеров вместо возврата денег за отмену рейсов,2020-04-29 06:00:22,0,-50,5
«Аэрофлот» разработал программу по возврату денег за билеты ваучерами,2020-04-29 12:21:26,0,-50,50
«Аэрофлот» назвал условия выдачи компенсации за билет на отмененный рейс,2020-04-30 15:02:29,-94.52405571937561,25,5
ФАС пообещала проверить процесс обмена билетов на ваучеры,2020-05-01 03:56:57,0,30,5
В «Аэрофлоте» сочли возможным возобновление полетов за рубеж летом,2020-05-03 19:27:43,0,75,50
S7 стала лидером по числу перевезенных пассажиров в апреле,2020-05-12 21:55:01,99.02437329292297,50,50
«Победа» назвала дату возобновления полетов по России,2020-05-13 08:18:27,0,30,30
СМИ узнали о просьбе «Аэрофлота» ослабить карантин для регионов,2020-05-14 07:48:38,-99.7355580329895,-50,50
Сбербанк согласовал реструктуризацию лизинговых обязательств «Аэрофлота»,2020-05-19 11:48:32,0,50,50
«Аэрофлот» разрешил дважды перенести дату вылета по купленным билетам,2020-05-21 02:16:58,0,50,5
Россияне вылетели из Нью-Йорка в Москву возвратным рейсом «Аэрофлота»,2020-05-24 02:10:46,-94.57538723945618,50,5
«Аэрофлот» объявил о запрете перевозки пассажиров без масок и перчаток,2020-05-28 20:15:18,-99.74426031112671,80,5
У Boeing 777 воспламенилась силовая установка при посадке в Шереметьево,2020-05-30 12:43:23,93.61367225646973,-80,-40
Чистый убыток группы «Аэрофлот» по МСФО в первом квартале вырос на 43%,2020-06-02 08:05:28,0,-75,-70
«Аэрофлот» отменил сбор за переоформление билетов по России на июнь,2020-06-03 11:57:08,-99.76248145103455,80,30
В «Аэрофлоте» объяснили ситуацию с пострадавшей в ходе перелета собакой,2020-06-23 15:30:57,0,50,5
СМИ узнали о люксовых рейсах «Аэрофлота» за рубеж вопреки карантину,2020-06-25 05:27:51,0,-80,-40
«Аэрофлот» ответил на статью о выполнении «люксовых» рейсов за рубеж,2020-06-25 10:12:18,0,25,0
В «Аэрофлоте» ответили на сообщения об очередях у офиса в Петербурге,2020-06-30 06:38:44,0,50,5
Росавиация продлила запрет на международные полеты до 1 августа,2020-07-02 11:11:22,-99.4831919670105,-80,-30
Власти впервые в 2020 году рекомендовали госкомпании не платить дивиденды,2020-07-02 19:17:51,0,-50,-40
«Аэрофлот» прекратил программу мотивации директоров из-за господдержки,2020-07-03 15:29:17,-98.48225116729736,-50,-20
Россияне вылетели из Франкфурта в Москву возвратным рейсом «Аэрофлота»,2020-07-04 22:10:17,-51.9664466381073,50,5
Дипломаты заподозрили «коммерческий проект» в попытке вывоза собак из КНР,2020-07-07 12:21:30,-97.94918298721313,25,0
«Аэрофлот» увидел признаки контрабанды в перевозке животных из Китая,2020-07-07 14:00:54,-91.18620157241821,-30,-10
«Аэрофлот» предложил способ снизить цены на билеты на 30%,2020-07-14 14:18:20,0,80,50
Мосгорсуд отменил продление ареста замглавы «Аэрофлота»,2020-07-23 16:52:51,-99.73013997077942,50,5
"«Аэрофлот» продал 6,5 тыс. билетов на рейсы в Лондон и Стамбул",2020-07-28 17:02:24,-99.72895383834839,40,30
«Аэрофлот» сократил число рейсов в Лондон из-за низкого спроса,2020-07-29 16:25:32,-99.74658489227295,-50,-20
Чистый убыток «Аэрофлота» за первое полугодие вырос в три раза,2020-07-29 17:45:00,-99.13601279258728,-80,-70
В первый день возобновления рейсов из Москвы улетели более 2 тыс. человек,2020-08-05 09:33:52,0,75,30
Глава «Аэрофлота» допустил волну банкротств авиакомпаний осенью,2020-08-05 09:56:41,-98.72576594352722,-80,-40
«Аэрофлот» отменил рейсы на август в закрытые страны,2020-08-06 07:31:23,-99.81885552406311,-80,-30
«Аэрофлот» приостановил продажу субсидируемых билетов с Дальнего Востока,2020-08-06 15:07:04,-99.29118752479553,-50,-20
Летевший в Москву лайнер SSJ100 сообщил о неисправности,2020-08-07 14:34:24,-99.61767196655273,-50,-20
«Победа» впервые обогнала «Аэрофлот» по числу перевезенных пассажиров,2020-08-11 17:31:09,98.58909845352173,-30,50
«Аэрофлот» возобновил продажу субсидированных билетов на Сахалин,2020-08-30 17:17:06,0,50,40
«Аэрофлот» назвал даты возобновления рейсов в Каир и Дубай,2020-09-03 16:54:56,0,50,50
«Аэрофлот» назвал дату возобновления рейсов на Мальдивы,2020-09-04 10:33:28,0,50,30
«Аэрофлот» нарастил перевозки после возобновления полетов за рубеж,2020-09-11 00:38:22,0,50,50
«Аэрофлот» открыл продажу билетов на рейсы взамен вывозных,2020-09-14 20:48:37,0,25,50
«Аэрофлот» ограничил перевозку животных,2020-09-14 21:25:03,0,-50,-10
Правительство возьмет деньги на дополнительную эмиссию «Аэрофлота» из ФНБ,2020-09-16 17:11:22,-99.72270131111145,-50,-20
После столкновения самолета с птицами в Белгороде началась проверка,2020-09-17 10:00:01,0,-30,5
"«Аэрофлот» назвал даты возобновления рейсов в Бишкек, Минск и Нур-Султан",2020-09-21 18:25:26,0,50,50
Количество пассажиров группы «Аэрофлот» в августе сократилось на 40%,2020-09-22 09:18:10,-99.47691559791565,-75,-40
Греф заявил о трудностях «Аэрофлота» с обслуживанием долгов,2020-09-22 12:06:40,-99.78727102279663,-80,-40
Следовавший в Москву борт сел в Нижневартовске из-за приступа у пассажира,2020-09-23 07:53:15,0,-30,0
Авиакомпании возместят падение числа пассажиров грузовыми рейсами,2020-09-28 09:43:53,0,50,50
«Аэрофлот» привлечет ₽80 млрд в ходе допэмиссии,2020-10-02 10:35:30,99.71787929534912,50,30
Летевший из Москвы в Омск самолет сел в Екатеринбурге из-за неисправности,2020-10-09 06:47:10,-56.29860162734985,-30,0
КНР приостановила рейс «Аэрофлота» в Шанхай из-за COVID-19 у пассажиров,2020-10-09 19:43:42,-99.79808926582336,-80,-20
«Аэрофлот» потребовал опровергнуть слова о смерти животных в самолетах,2020-10-10 06:21:34,-56.417375802993774,25,-20
S7 на полгода обошла «Аэрофлот» по числу пассажиров,2020-10-12 07:21:46,-99.6186912059784,-30,5
Авиакомпания «Россия» начала закупать первые Superjet под новые маршруты,2020-10-13 14:08:33,99.67970252037048,25,50
"Минфин отчитался о покупке акций «Аэрофлота» на ₽40,9 млрд из средств ФНБ",2020-10-15 07:05:47,0,80,50
В США обвинили сотрудников «Аэрофлота» в контрабанде электроники в Россию,2020-10-20 09:08:03,-99.85710382461548,-50,-30
«Аэрофлот» ответил на данные США об участии сотрудников в контрабанде,2020-10-20 15:05:26,0,25,-30
«Аэрофлот» разрешил бесплатный обмен билетов при опоздании на рейс,2020-10-21 08:52:01,0,50,5
«Аэрофлот» спустя час поменял условия бесплатного обмена билетов,2020-10-21 09:45:08,0,-50,5
Авиакомпании попросили у Мишустина ₽50 млрд субсидий из-за коронавируса,2020-10-21 21:23:23,-99.51553344726562,-80,-30
В Шереметьево сел SSJ-100 с датчиком неисправности шасси,2020-10-22 10:38:43,0,-50,-20
"«Аэрофлот» увеличил частоту полетов в Белоруссию, Швейцарию и на Мальдивы",2020-10-24 22:37:58,97.70157933235168,50,30
«Аэрофлот» спрогнозировал возобновление полетов в Европу в конце зимы,2020-10-25 13:09:54,0,30,50
Россия возобновила авиасообщение с Японией,2020-10-31 23:14:33,94.10215616226196,25,35
Сахалин откажется от услуг «Аэрофлота» в пользу борьбы с коронавирусом,2020-11-01 07:56:37,-99.37618374824524,-90,-20
«Аэрофлот» отправит первый рейс в Токио после возобновления авиасообщения,2020-11-04 23:11:08,98.15273880958557,50,30
«Россия» не нашла претендентов на поставку ей трех Superjet,2020-11-05 14:12:36,-98.66272807121277,-50,-20
Новым министром транспорта станет глава «Аэрофлота»,2020-11-09 08:15:32,0,50,30
Глава ГТЛК стал основным кандидатом на пост гендиректора «Аэрофлота»,2020-11-09 11:00:05,0,50,30
Савельев предложил ужесточить ПДД и открыть в России больше лоукостеров,2020-11-09 11:53:52,-95.70355415344238,Error_Evaluation_Gigachat,20
S7 седьмой раз обогнала «Аэрофлот» по числу перевезенных пассажиров,2020-11-11 10:59:10,83.63547325134277,-50,50
Назначен врио главы «Аэрофлота»,2020-11-11 17:35:35,0,50,50
Кандидатами на пост главы ГТЛК стали экс-министр транспорта и его зам,2020-11-12 11:38:35,0,25,5
Сотрудника «Аэрофлота» заподозрили в работе на британскую разведку,2020-11-12 18:33:18,-99.82978701591492,-90,-30
Защита сотрудника «Аэрофлота» обжаловала решение о его аресте,2020-11-13 17:45:48,-82.22997784614563,25,2
«Аэрофлот» объявил о возобновлении полетов в Ниццу,2020-11-16 15:17:08,0,25,50
Новым главой «Аэрофлота» станет Михаил Полубояринов,2020-11-18 18:07:04,0,50,5
В Росавиации заявили о планах авиакомпаний создать конкурентов «Победе»,2020-11-19 04:37:14,98.62849712371826,-50,5
Совет директоров «Аэрофлота» назначил Полубояринова гендиректором,2020-11-20 15:26:06,0,50,30
Власти вдвое урезали авиакомпаниям в России квоту на иностранных пилотов,2020-11-23 15:25:02,0,-50,-30
Доля крупнейшего миноритария в «Аэрофлоте» сократилась вдвое,2020-11-24 14:14:23,-99.83554482460022,-50,-30
«Победа» нашла способ не отменять часть рейсов из-за новой схемы полетов,2020-11-30 16:12:13,0,35,30
«Аэрофлот» продаст 51% авиакомпании «Аврора» за 1 рубль,2020-12-03 13:11:06,-99.79904890060425,-80,-20
В S7 приветствовали переход экс-главы конкурента в Минтранс,2020-12-04 09:02:08,0,25,5
Посольство отреагировало на «минирование» лайнера «Аэрофлота» в Нью-Йорке,2020-12-07 04:50:29,0,-80,-20
Замглавы «Победы» уволили из-за акции в поддержку Дзюбы,2020-12-08 11:27:01,-99.78394508361816,-25,0
СМИ сообщили о возобновлении рейсов «Аэрофлота» в Хельсинки,2020-12-12 21:55:14,0,50,40
«Аэрофлот» запретил пускать на борт людей с противопоказанием к маскам,2020-12-14 11:39:06,0,-50,-20
Авиакомпании заявили о росте расхода топлива в новой системе полетов,2020-12-15 06:00:17,99.27861094474792,-50,-30
«Аэрофлот» ввел «карантинные» места для снявших маски пассажиров,2020-12-15 14:03:58,0,-50,5
СМИ узнали о претензии «Аэрофлота» к тренажеру из-за крушения SSJ100,2020-12-16 06:42:53,-82.88829326629639,-50,-30
«Победа» запустила рейсы из Москвы в Москву,2020-12-19 05:06:57,99.3551254272461,0,5
«Аэрофлот» сообщил об отсутствии решения по авиасообщению с Британией,2020-12-20 16:59:20,-97.91461229324341,0,-20
«Аэрофлот» отменил все рейсы в Великобританию на неделю,2020-12-21 13:38:02,-99.84045624732971,-100,-30
«Аэрофлот» объяснил полеты двух самолетов в Лондон после остановки рейсов,2020-12-22 11:38:41,0,-25,5
Вернуть обычную жизнь и купить щенка: бизнес и министры — о планах на год,2020-12-28 11:00:41,98.10314774513245,25,5
Мишустин назначил генерала ФСО замглавы Минцифры,2020-12-30 19:16:05,0,Error_Evaluation_Gigachat,5
«Аэрофлот» начал продажу субсидируемых билетов на Дальний Восток,2021-01-02 00:30:02,0,75,50
«Аэрофлот» приостановил продажу субсидируемых билетов на Дальний Восток,2021-01-13 10:10:00,-99.21988844871521,-50,-20
В Шереметьево сел Airbus со сработавшим датчиком неисправности,2021-01-13 13:22:45,0,-30,0
«Аэрофлот» назвал дату возобновления рейсов в Финляндию,2021-01-19 07:15:34,0,50,30
«Аэрофлот» предложил уменьшить размеры багажа,2021-01-21 05:23:22,-88.90907168388367,-50,-30
«Аэрофлот» упростил получение бонусных привилегий из-за пандемии,2021-02-04 11:48:52,0,50,20
Летевший в Амстердам самолет «Аэрофлота» вернулся в Шереметьево,2021-02-06 14:42:15,0,-30,0
"«Аэрофлот» возобновит рейсы в Алма-Ату, Баку и Ереван",2021-02-09 13:10:05,98.4641969203949,75,50
СМИ сообщили об уходе «Победы» с Дальнего Востока,2021-02-10 22:56:07,-99.29811954498291,-80,-30
«Аэрофлот» возобновил продажу субсидируемых билетов на Дальний Восток,2021-02-12 00:41:41,0,50,40
«Аэрофлот» объяснил отказ в полете девушке с собакой-поводырем,2021-02-22 18:10:48,-99.41182136535645,25,-10
«Аэрофлот» предложил менять условия перевозки без согласия пассажира,2021-02-25 23:41:15,0,50,-30
"Удар США в Сирии, «Аэрофлот» захотел менять даты полета. Главное за ночь",2021-02-26 06:10:57,-49.5408833026886,-30,-30
В «Аэрофлоте» объяснили предложение ввести «негарантированный» тариф,2021-02-26 06:37:53,0,30,0
"Глава «Победы» заявил о планах увеличить пассажиропоток в 1,5 раза",2021-03-01 10:00:56,98.53695631027222,70,70
Клиентов «Аэрофлота» обяжут сдать ручную кладь в багаж на рейсах «Победы»,2021-03-01 10:35:14,0,-50,-20
"Реальный срок Саркози, Пашинян признал ошибку с ракетами. Главное за день",2021-03-01 15:01:54,0,Error_Evaluation_Gigachat,0
СМИ узнали о скором появлении платного интернета на коротких авиарейсах,2021-03-02 00:28:39,0,-30,5
«Аэрофлот» опроверг сообщения о прекращении полетов в 26 городов России,2021-03-03 13:06:13,-99.41984415054321,80,50
«Аэрофлот» предложил сделать регистрацию в аэропортах платной,2021-03-05 01:44:13,89.98339176177979,-50,-20
"«Экстремальные» санкции для России, ВОЗ — о визите в КНР. Главное за ночь",2021-03-05 06:13:01,-99.81194138526917,Error_Evaluation_Gigachat,-40
«Аэрофлот» опроверг предложение ввести платную регистрацию в аэропорту,2021-03-05 07:15:06,-91.70519709587097,50,5
Минтранс ответил на сообщения об идее платной регистрации в аэропортах,2021-03-05 08:01:10,0,25,5
«Аэрофлот» повысит топливный сбор на рейсах внутри России,2021-03-05 15:58:18,0,-50,-20
«Аэрофлот» отчитался об убытке в 123 млрд руб. по итогам года пандемии,2021-03-10 17:52:19,-99.83265995979309,-80,-70
«Аэрофлот» продал Сахалину 51% авиакомпании «Аврора» за 1 рубль,2021-03-11 00:16:19,-98.63492250442505,75,5
Росавиация заявила об отсутствии признаков банкротств авиакомпаний,2021-03-12 15:03:56,-70.49880623817444,50,50
Глава «Аэрофлота» заявил о продолжении практики «полетов в никуда»,2021-03-19 23:47:10,0,50,5
Две российские авиакомпании смогли избежать убытков в год пандемии,2021-03-20 11:00:57,80.86702227592468,75,50
Летевший в Хабаровск самолет развернули из-за состояния пассажира,2021-03-23 05:48:01,0,-25,0
Чартеры из России в ОАЭ оказались под угрозой,2021-03-27 17:38:23,-98.82529377937317,-50,-30
«Аэрофлот» и S7 опровергли рост цен на авиабилеты,2021-04-02 07:46:14,94.45214867591858,50,5
Депутат Госдумы Гетта извинился за дебош в самолете,2021-04-08 13:20:23,-99.76001381874084,Error_Evaluation_Gigachat,0
«Аэрофлот» перенаправит до четверти самолетов на черноморские курорты,2021-04-08 21:00:32,-97.52723574638367,75,50
"Госдеп объяснил слова Байдена, «Аэрофлот» полетит на юг. Главное за ночь",2021-04-09 06:07:18,0,25,5
«Аэрофлот» предложит условия обмена и возврата билетов на рейсы в Турцию,2021-04-12 18:39:22,0,50,5
Убыток российских авиаперевозчиков в 2020-м достиг почти ₽125 млрд,2021-04-14 06:00:15,0,-80,-60
Дальневосточная авиакомпания получит восемь самолетов Superjet,2021-04-14 21:00:25,99.62672591209412,50,50
После закрытия Турции «Аэрофлот» вдвое увеличит объем перевозок в Египет,2021-04-15 21:00:05,99.34023022651672,75,50
"Египет вместо Турции, новые угрозы Байдена. Главное за ночь",2021-04-16 05:26:47,0,Error_Evaluation_Gigachat,-20
Авиакомпании нарастили долги по аренде самолетов,2021-04-16 08:31:29,-99.58414435386658,-50,-30
«Аэрофлот» будет летать в Крым «практически каждый час»,2021-04-22 09:31:12,0,Error_Evaluation_Gigachat,50
«Аэрофлот» предложил сдать или обменять билеты из-за локдауна на Кипре,2021-04-24 11:44:20,0,-80,-20
«Аэрофлот» назвал условия премирования привившихся от COVID-19 пассажиров,2021-05-13 12:06:05,94.1312313079834,50,5
"«Аэрофлот», Delta и Lufthansa отменили рейсы в Тель-Авив",2021-05-13 14:07:01,-99.77551102638245,-80,-30
«Аэрофлот» вернулся на первое место по объему пассажирских перевозок,2021-05-17 08:38:43,98.17818403244019,80,50
«Аэрофлот» предупредил о проблемах с вылетами и регистрацией из-за сбоя,2021-05-21 08:21:14,-99.85221028327942,-80,-30
«Аэрофлот» вывезет часть пассажиров отмененного рейса Air France в Москву,2021-05-27 14:14:01,0,25,10
«Аэрофлот» назвал основное препятствие для авиации во время пандемии,2021-06-01 17:55:47,-99.73815083503723,-30,-30
«Коммерсантъ» назвал причину взаимных отмен рейсов России и Германии,2021-06-03 03:52:20,0,50,-20
«Аэрофлот» ждет открытия рейсов в Египет в ближайшие дни,2021-06-04 08:39:04,0,75,50
«Аэрофлот» запустит дополнительные рейсы в Турцию,2021-06-19 09:48:00,98.6390471458435,75,50
«Аэрофлот» изменил правила перевозки животных,2021-06-22 08:35:53,0,25,5
«Аэрофлот» переведет все международные рейсы в другой терминал,2021-06-24 22:34:56,0,-50,5
В Екатеринбурге самолет во время взлета столкнулся со стаей птиц,2021-07-01 10:00:16,0,-50,0
«Аэрофлот» потратит ₽102 млн для роста доходов от продажи мест в салоне,2021-07-05 11:05:36,99.00098443031311,50,30
«Аэрофлот» начал начислять мили за перевозку животных,2021-07-06 10:13:21,-83.26095938682556,25,30
«Победа» отказалась от одного из крупнейших для России заказов Boeing 737,2021-07-08 05:00:18,-99.80138540267944,-50,-30
Авиакомпании рассказали о готовности к возобновлению чартеров в Египет,2021-07-08 15:02:01,97.65342473983765,50,50
В «Аэрофлоте» попросили заранее прибывать в Шереметьево из-за очередей,2021-07-10 19:48:04,0,25,-20
«Дочка» Шереметьево займется безопасностью курортов Египта,2021-07-13 04:36:47,97.84318804740906,25,30
Шереметьево назвало дату запуска закрытого из-за пандемии терминала,2021-07-14 10:51:46,0,50,50
Летевший в Лиссабон самолет развернулся на фоне забастовок в Португалии,2021-07-17 23:15:22,61.94199323654175,-50,-10
На Урале прокуратура начала проверку после падения давления в самолете,2021-07-22 06:47:35,0,-25,-10
«Аэрофлот» допустил первые после начала полетов прямые рейсы в две страны,2021-08-13 09:47:20,98.06624054908752,50,50
Глава «Победы» — РБК: «Закрытие Европы помогает нам увеличить перевозки»,2021-08-16 04:00:46,97.11037874221802,50,30
«Аэрофлот» вернет или перебронирует билеты пассажиров в Бангкок,2021-08-18 18:54:34,0,75,5
"В аэропорту Южно-Сахалинска объяснили, почему сняли с рейса 118 человек",2021-08-20 08:41:14,0,25,0
Подавший сигнал бедствия Superjet совершил посадку в Москве,2021-08-21 11:25:25,63.446807861328125,50,5
Профсоюз пилотов предупредил «Аэрофлот» о риске дефицита кадров,2021-08-23 20:51:44,-99.84109401702881,-80,-30
«Победа» отдала часть рейсов другим компаниям из-за COVID,2021-08-26 21:44:26,0,-30,-20
«Победа» объяснила отмену части рейсов,2021-08-27 07:43:40,-72.24130034446716,25,-30
«Победа» назвала число заболевших COVID-19 пилотов,2021-08-27 11:16:15,0,-30,-20
«Коммерсантъ» узнал о переговорах «Аэрофлота» по чистому авиатопливу,2021-08-30 04:51:44,0,50,40
«Аэрофлот» назвал дату начала полетов из Москвы на курорты Египта,2021-08-31 14:03:51,0,75,50
«Аэрофлот» решил повысить зарплату бортпроводникам,2021-08-31 15:18:24,0,50,5
В «Аэрофлоте» заявили о желании компаний «хайпануть» на фоне ограничений,2021-09-02 08:02:59,98.22357892990112,-30,0
«Аэрофлот» возобновит полеты в Бангкок,2021-09-04 22:18:50,96.09808921813965,75,50
В «Аэрофлоте» заявили об отстранении отказавшихся привиться пилотов,2021-09-06 17:26:05,-99.78321194648743,-50,-30
«Аэрофлот» перевез 500 тыс. пассажиров на новых рейсах в обход Москвы,2021-09-10 08:46:58,91.10575318336487,75,40
«Аэрофлот» перестал возвращать часть сборов при возврате билета,2021-10-03 12:10:07,-70.21872401237488,-50,-30
Посольство назвало даты вывозных рейсов из Марокко в Россию,2021-10-09 11:03:26,0,25,5
«Аэрофлот» возобновил продажу субсидированных билетов на Дальний Восток,2021-10-19 02:22:43,0,50,50
